Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
Bounding Box: Left=807, Top=237, Right=938, Bottom=335
Bounding Box: Left=552, Top=278, Right=691, Bottom=370
Bounding Box: Left=739, Top=202, Right=862, Bottom=293
Bounding Box: Left=902, Top=231, Right=1027, Bottom=329
Bounding Box: Left=721, Top=259, Right=858, Bottom=361
